FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,22222222,My manager sucks,I was able to use text instead of speech to interact in the meeting,Examples of good adjustments include: Avoid working in areas with fluorescent strip lighting,I saw a story about a: a mathematic genius,I can’t think of any right now,1/1/2019,1
Autistica - Adjustments,7,11111111,I asked for instructions to be written down but they are still provided verbally,I haven’t had any success,I have tried the following: Using an internal advocate who can communicate on behalf of the employee,I watched a film about: difficulty in switching between tasks,Not sure what to say,1/1/2019,2
Autistica - Adjustments,7,12077101,Every birthday my office buys me cake but I don't eat cake,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Here are some things that have helped Ergonomic wrist rest and keyboard.,I watched a film about: low income and employment for autistic people,I would like to upgrade this app,1/1/2019,3
Autistica - Adjustments,7,38961843,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",It's so frustrating because I feel that I am close to success but it never really happens,Here are some things that have helped Access to other job opportunities within the company,I watched a film about: superior focus,Not sure what to say,1/1/2019,4
Autistica - Adjustments,7,67611589,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I worked in the quite room and that was very productive,What has really helped is: Advanced notice of changes,I watched a film about: a cyber hacker,Really enjoying this app,1/1/2019,5
Autistica - Adjustments,7,32500162,My manager sucks,I was successufl in extending my contract,I have tried the following: Online accessible resources about getting up to speed in a new role,My friend told me about another friend who said that:  excellent autistic creativity,Really enjoying this app,1/1/2019,6
Autistica - Adjustments,7,90705766,I had to do training on fire and safety even though I completed three months ago,I was praised by my coworkers but not my manager,Examples of good adjustments include: Extra breaks to manage cognitive overload and processing speeds,My friend told me about another friend who said that:  superior focus,I can’t think of any right now,1/1/2019,7
Autistica - Adjustments,7,46465154,We had an overnight hackathon and there were not enough vegan options,I haven’t had any success,Some things which I have tried are: Repositioning of desk (e.g. in corner to avoid being startled),I saw a story about a: a mathematic genius,Visualisations are nice,1/1/2019,8
Autistica - Adjustments,7,36480781,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,It's so frustrating because I feel that I am close to success but it never really happens,I would like to have more of: A team culture of quieter lunchtime conversations,I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,1/1/2019,9
Autistica - Adjustments,7,86004302,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I've not had much success asking for the following: Visual partitions of workspace (i.e. to minimise distraction and sound),I saw a story about a: difficulty in switching between tasks,I'm finding this app sort of helpful,1/1/2019,10
Autistica - Adjustments,7,74046800,I don’t like cookies but my team keeps celebrating cookies,I was successful in meeting my deadlines,I've not had much success asking for the following: Site blocker software to avoid internet distractions,I saw a story about a: low income and employment for autistic people,Really enjoying this app,1/1/2019,11
Autistica - Adjustments,7,67512682,Communication is not happening the way I have requested,I have felt less depressed,I have requested this: Online accessible resources about getting up to speed in a new role,I saw a story about a: difficulty in switching between tasks,Not sure what to say,1/1/2019,12
